	arrayTrain_postMeanCollapse	htp1.5_WU_update	commercial_4x44k_postMeanCollapse_WashU_v2	commercial_1x44k_postMeanCollapse_WashU	Agilent_244K	GC.4x44Kcustom	RNAseq.V1	RNAseq.V2	RNAseq.Freeze.20120907
KIF2C	-1.831	-0.978650592	-2.0756	-1.2595	-1.432894099	-1.910089055	2.938161	9.417261	9.263520271
KNTC2	-2.0635	-0.475240357	-1.828	-1.718	-1.512434375	-1.950714547	2.541474	8.443132	8.339688581
KRT14	0.2785	1.238253748	-0.39615	-0.0455	0.007196464	0.476875938	3.924223	9.141061	9.092058084
KRT17	-0.459	0.246015736	-1.164825	-0.9995	-0.684369208	0.299103	5.043624	9.8528905	9.744508354
KRT5	-0.6805	2.234875966	-1.19165	-0.8565	-0.761021133	-0.370911092	4.586891	10.014502	9.79697365
MAPT	0	1.148998514	0.4418	0.104	0.403034349	0.224923312	2.22865	8.9984765	8.971144459
MDM2	0.2405	6.503630597	-0.272666667	-0.1375	-0.197899543	0.042182041	3.714894	10.8924155	10.89241744
MELK	-1.9175	-0.787196863	-1.9323	-1.3565	-1.847675214	-2.114271587	3.051069	8.936608	8.929375595
MIA	-0.715	1.991145772	-1.043333333	-0.6455	-0.680630754	-0.971360836	0.973974	4.870818	4.470588924
MKI67	-1.6965	-0.757719431	-2.965948718	-0.733	-1.726379305	-1.421802782	3.223842	11.458783	11.30192354
MLPH	0.8465	1.963068745	-0.066131579	0.101	0.984550248	1.165422546	4.913037	11.745854	11.84782705
MMP11	3.289	6.967634333	2.892685714	2.0165	3.241462153	2.983911051	6.228427	12.273603	12.36925692
MYBL2	-1.9115	-1.981576466	-1.603775	-0.397	-1.61655395	-0.891372795	3.783066	10.267481	10.12309678
MYC	-1.617	0.426752831	-2.335	-1.8795	-1.151368901	-1.056838057	5.470581	10.7286655	10.79443012
NAT1	1.081	0.827508907	3.105475	0.8945	0.853039851	0.070663052	2.056371	7.8193675	7.720837976
ORC6L	-2.4095	-1.400635704	-2.7957	0.4965	-2.338159534	-1.630313602	3.192866	7.464834	7.349175497
PGR	0.648444444	1.030792302	-1.177483871	-0.905	-1.253546011	-1.340826207	-0.773159	7.2719725	6.492890662
PHGDH	-1.9655	-0.949022832	-1.90485	-1.387	-1.283085454	-0.824596977	4.696283	10.4646865	10.29585295
PTTG1	-1.8915	-1.064268952	-1.686974359	-1.224	-2.144596023	-2.069273217	4.467543	8.917508	8.760055573
RRM2	-2.567	-0.803239531	-2.46925641	-0.308	-2.035829398	-1.318102035	3.839752	10.3274205	10.15748867
SFRP1	-0.526	2.754784698	-1.08525	-0.0475	-1.641859488	-0.429075398	4.206757	10.361186	10.05478636
SLC39A6	-0.8825	-0.557500599	-0.477	-0.942	0.079968262	0.090966572	6.728882	12.733075	12.53565184
TMEM45B	-1.3705	1.998777205	-1.57915	-0.622	-1.694689158	-0.916975013	0.926741	6.4044815	6.548036591
TYMS	-2.795	0.344801316	-2.783052632	-1.963	-2.233947158	-2.345344734	4.249755	9.5341305	9.419438291
UBE2C	-1.089	-0.743295045	-2.214897436	-1.121	-1.168991322	-0.574436114	5.071614	9.683988	9.511211739
UBE2T	-1.723	-0.152282102	-1.557513514	-1.029	-1.277875511	-1.155996763	4.397487	8.99464	8.887009756
